GENESIS-Tabelle: 173-21-4
Bevölkerungsstand: Bevölkerung nach Geschlecht;;;;;
und Altersgruppen (17) - Stichtag 31.12. -;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Bevölkerungsstand (Anzahl);;;;;
2014-12-31;;;;;
;;;Total;männlich;weiblich
05119;      Oberhausen, Kreisfreie Stadt;65 bis unter 75 Jahre;21523;10128;11395
05119;      Oberhausen, Kreisfreie Stadt;75 Jahre und mehr;23350;8947;14403
05119;      Oberhausen, Kreisfreie Stadt;Total;209292;102065;107227
05120;      Remscheid, Kreisfreie Stadt;unter 3 Jahre;2706;1377;1329
05120;      Remscheid, Kreisfreie Stadt;3 bis unter 6 Jahre;2659;1360;1299
05120;      Remscheid, Kreisfreie Stadt;6 bis unter 10 Jahre;3808;1903;1905
05120;      Remscheid, Kreisfreie Stadt;10 bis unter 15 Jahre;5148;2637;2511
05120;      Remscheid, Kreisfreie Stadt;15 bis unter 18 Jahre;3461;1721;1740
05120;      Remscheid, Kreisfreie Stadt;18 bis unter 20 Jahre;2324;1174;1150
05120;      Remscheid, Kreisfreie Stadt;20 bis unter 25 Jahre;6033;3073;2960
05120;      Remscheid, Kreisfreie Stadt;25 bis unter 30 Jahre;5896;3050;2846
05120;      Remscheid, Kreisfreie Stadt;30 bis unter 35 Jahre;5868;3018;2850
05120;      Remscheid, Kreisfreie Stadt;35 bis unter 40 Jahre;5983;2960;3023
05120;      Remscheid, Kreisfreie Stadt;40 bis unter 45 Jahre;6942;3488;3454
05120;      Remscheid, Kreisfreie Stadt;45 bis unter 50 Jahre;9482;4866;4616
05120;      Remscheid, Kreisfreie Stadt;50 bis unter 55 Jahre;9519;4931;4588
05120;      Remscheid, Kreisfreie Stadt;55 bis unter 60 Jahre;7996;3974;4022
05120;      Remscheid, Kreisfreie Stadt;60 bis unter 65 Jahre;6710;3295;3415
05120;      Remscheid, Kreisfreie Stadt;65 bis unter 75 Jahre;12199;5722;6477
05120;      Remscheid, Kreisfreie Stadt;75 Jahre und mehr;12275;4717;7558
05120;      Remscheid, Kreisfreie Stadt;Total;109009;53266;55743
05122;      Solingen, Kreisfreie Stadt;unter 3 Jahre;3998;2080;1918
05122;      Solingen, Kreisfreie Stadt;3 bis unter 6 Jahre;3979;2010;1969
05122;      Solingen, Kreisfreie Stadt;6 bis unter 10 Jahre;5595;2863;2732
05122;      Solingen, Kreisfreie Stadt;10 bis unter 15 Jahre;7532;3859;3673
05122;      Solingen, Kreisfreie Stadt;15 bis unter 18 Jahre;5075;2680;2395
05122;      Solingen, Kreisfreie Stadt;18 bis unter 20 Jahre;3476;1793;1683
05122;      Solingen, Kreisfreie Stadt;20 bis unter 25 Jahre;8837;4463;4374
05122;      Solingen, Kreisfreie Stadt;25 bis unter 30 Jahre;8945;4404;4541
05122;      Solingen, Kreisfreie Stadt;30 bis unter 35 Jahre;9021;4385;4636
05122;      Solingen, Kreisfreie Stadt;35 bis unter 40 Jahre;8680;4222;4458
05122;      Solingen, Kreisfreie Stadt;40 bis unter 45 Jahre;9886;4807;5079
05122;      Solingen, Kreisfreie Stadt;45 bis unter 50 Jahre;13777;6826;6951
05122;      Solingen, Kreisfreie Stadt;50 bis unter 55 Jahre;13730;6865;6865
05122;      Solingen, Kreisfreie Stadt;55 bis unter 60 Jahre;11285;5636;5649
05122;      Solingen, Kreisfreie Stadt;60 bis unter 65 Jahre;8986;4346;4640
05122;      Solingen, Kreisfreie Stadt;65 bis unter 75 Jahre;16086;7500;8586
05122;      Solingen, Kreisfreie Stadt;75 Jahre und mehr;17883;6920;10963
05122;      Solingen, Kreisfreie Stadt;Total;156771;75659;81112
05124;      Wuppertal, Kreisfreie Stadt;unter 3 Jahre;8970;4668;4302
05124;      Wuppertal, Kreisfreie Stadt;3 bis unter 6 Jahre;8912;4487;4425
05124;      Wuppertal, Kreisfreie Stadt;6 bis unter 10 Jahre;12119;6157;5962
05124;      Wuppertal, Kreisfreie Stadt;10 bis unter 15 Jahre;15863;8065;7798
05124;      Wuppertal, Kreisfreie Stadt;15 bis unter 18 Jahre;10372;5280;5092
05124;      Wuppertal, Kreisfreie Stadt;18 bis unter 20 Jahre;7132;3619;3513
05124;      Wuppertal, Kreisfreie Stadt;20 bis unter 25 Jahre;21556;10723;10833
05124;      Wuppertal, Kreisfreie Stadt;25 bis unter 30 Jahre;22835;11653;11182
05124;      Wuppertal, Kreisfreie Stadt;30 bis unter 35 Jahre;21264;10919;10345
05124;      Wuppertal, Kreisfreie Stadt;35 bis unter 40 Jahre;19384;9782;9602
05124;      Wuppertal, Kreisfreie Stadt;40 bis unter 45 Jahre;21607;10853;10754
05124;      Wuppertal, Kreisfreie Stadt;45 bis unter 50 Jahre;28565;14540;14025
05124;      Wuppertal, Kreisfreie Stadt;50 bis unter 55 Jahre;28541;14376;14165
05124;      Wuppertal, Kreisfreie Stadt;55 bis unter 60 Jahre;24127;11928;12199
05124;      Wuppertal, Kreisfreie Stadt;60 bis unter 65 Jahre;20207;9563;10644
05124;      Wuppertal, Kreisfreie Stadt;65 bis unter 75 Jahre;36041;16673;19368
05124;      Wuppertal, Kreisfreie Stadt;75 Jahre und mehr;37930;14480;23450
05124;      Wuppertal, Kreisfreie Stadt;Total;345425;167766;177659
05154;      Kleve, Kreis;unter 3 Jahre;7687;3918;3769
05154;      Kleve, Kreis;3 bis unter 6 Jahre;7658;3998;3660
05154;      Kleve, Kreis;6 bis unter 10 Jahre;10940;5632;5308
05154;      Kleve, Kreis;10 bis unter 15 Jahre;15292;7775;7517
05154;      Kleve, Kreis;15 bis unter 18 Jahre;10362;5326;5036
05154;      Kleve, Kreis;18 bis unter 20 Jahre;7219;3750;3469
05154;      Kleve, Kreis;20 bis unter 25 Jahre;17979;9539;8440
05154;      Kleve, Kreis;25 bis unter 30 Jahre;17452;9055;8397
05154;      Kleve, Kreis;30 bis unter 35 Jahre;17065;8808;8257
05154;      Kleve, Kreis;35 bis unter 40 Jahre;16342;8219;8123
05154;      Kleve, Kreis;40 bis unter 45 Jahre;19360;9611;9749
05154;      Kleve, Kreis;45 bis unter 50 Jahre;27210;13616;13594
05154;      Kleve, Kreis;50 bis unter 55 Jahre;27194;13761;13433
05154;      Kleve, Kreis;55 bis unter 60 Jahre;22926;11554;11372
05154;      Kleve, Kreis;60 bis unter 65 Jahre;19911;9882;10029
05154;      Kleve, Kreis;65 bis unter 75 Jahre;30265;14652;15613
05154;      Kleve, Kreis;75 Jahre und mehr;30101;11862;18239
05154;      Kleve, Kreis;Total;304963;150958;154005
05158;      Mettmann, Kreis;unter 3 Jahre;11862;6039;5823
05158;      Mettmann, Kreis;3 bis unter 6 Jahre;11757;6043;5714
05158;      Mettmann, Kreis;6 bis unter 10 Jahre;16860;8461;8399
05158;      Mettmann, Kreis;10 bis unter 15 Jahre;22456;11572;10884
05158;      Mettmann, Kreis;15 bis unter 18 Jahre;14665;7493;7172
05158;      Mettmann, Kreis;18 bis unter 20 Jahre;9697;5085;4612
05158;      Mettmann, Kreis;20 bis unter 25 Jahre;22955;11805;11150
05158;      Mettmann, Kreis;25 bis unter 30 Jahre;23378;11682;11696
05158;      Mettmann, Kreis;30 bis unter 35 Jahre;24850;11997;12853
05158;      Mettmann, Kreis;35 bis unter 40 Jahre;25159;12128;13031
05158;      Mettmann, Kreis;40 bis unter 45 Jahre;30234;14736;15498
05158;      Mettmann, Kreis;45 bis unter 50 Jahre;42543;20964;21579
05158;      Mettmann, Kreis;50 bis unter 55 Jahre;42463;21091;21372
05158;      Mettmann, Kreis;55 bis unter 60 Jahre;35565;17428;18137
05158;      Mettmann, Kreis;60 bis unter 65 Jahre;30268;14384;15884
