GENESIS-Tabelle: 173-21-4
Bevölkerungsstand: Bevölkerung nach Geschlecht;;;;;
und Altersgruppen (17) - Stichtag 31.12. -;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Bevölkerungsstand (Anzahl);;;;;
2014-12-31;;;;;
;;;Total;männlich;weiblich
05916;      Herne, Kreisfreie Stadt;65 bis unter 75 Jahre;16306;7617;8689
05916;      Herne, Kreisfreie Stadt;75 Jahre und mehr;17744;6392;11352
05916;      Herne, Kreisfreie Stadt;Total;154608;75026;79582
05954;      Ennepe-Ruhr-Kreis;unter 3 Jahre;7452;3748;3704
05954;      Ennepe-Ruhr-Kreis;3 bis unter 6 Jahre;7263;3692;3571
05954;      Ennepe-Ruhr-Kreis;6 bis unter 10 Jahre;10160;5198;4962
05954;      Ennepe-Ruhr-Kreis;10 bis unter 15 Jahre;14124;7319;6805
05954;      Ennepe-Ruhr-Kreis;15 bis unter 18 Jahre;9675;5044;4631
05954;      Ennepe-Ruhr-Kreis;18 bis unter 20 Jahre;6563;3404;3159
05954;      Ennepe-Ruhr-Kreis;20 bis unter 25 Jahre;17349;8944;8405
05954;      Ennepe-Ruhr-Kreis;25 bis unter 30 Jahre;17191;8720;8471
05954;      Ennepe-Ruhr-Kreis;30 bis unter 35 Jahre;17133;8550;8583
05954;      Ennepe-Ruhr-Kreis;35 bis unter 40 Jahre;16845;8287;8558
05954;      Ennepe-Ruhr-Kreis;40 bis unter 45 Jahre;19812;9750;10062
05954;      Ennepe-Ruhr-Kreis;45 bis unter 50 Jahre;28638;14110;14528
05954;      Ennepe-Ruhr-Kreis;50 bis unter 55 Jahre;28710;14292;14418
05954;      Ennepe-Ruhr-Kreis;55 bis unter 60 Jahre;24946;12314;12632
05954;      Ennepe-Ruhr-Kreis;60 bis unter 65 Jahre;21736;10393;11343
05954;      Ennepe-Ruhr-Kreis;65 bis unter 75 Jahre;36877;17199;19678
05954;      Ennepe-Ruhr-Kreis;75 Jahre und mehr;38442;14981;23461
05954;      Ennepe-Ruhr-Kreis;Total;322916;155945;166971
05958;      Hochsauerlandkreis;unter 3 Jahre;6043;3128;2915
05958;      Hochsauerlandkreis;3 bis unter 6 Jahre;6207;3208;2999
05958;      Hochsauerlandkreis;6 bis unter 10 Jahre;9197;4731;4466
05958;      Hochsauerlandkreis;10 bis unter 15 Jahre;13548;7014;6534
05958;      Hochsauerlandkreis;15 bis unter 18 Jahre;9199;4759;4440
05958;      Hochsauerlandkreis;18 bis unter 20 Jahre;6057;3322;2735
05958;      Hochsauerlandkreis;20 bis unter 25 Jahre;14462;8009;6453
05958;      Hochsauerlandkreis;25 bis unter 30 Jahre;14137;7510;6627
05958;      Hochsauerlandkreis;30 bis unter 35 Jahre;13790;6999;6791
05958;      Hochsauerlandkreis;35 bis unter 40 Jahre;13653;6706;6947
05958;      Hochsauerlandkreis;40 bis unter 45 Jahre;16764;8471;8293
05958;      Hochsauerlandkreis;45 bis unter 50 Jahre;22672;11579;11093
05958;      Hochsauerlandkreis;50 bis unter 55 Jahre;22938;11705;11233
05958;      Hochsauerlandkreis;55 bis unter 60 Jahre;19973;10025;9948
05958;      Hochsauerlandkreis;60 bis unter 65 Jahre;16625;8195;8430
05958;      Hochsauerlandkreis;65 bis unter 75 Jahre;26351;12684;13667
05958;      Hochsauerlandkreis;75 Jahre und mehr;29945;11659;18286
05958;      Hochsauerlandkreis;Total;261561;129704;131857
05962;      Märkischer Kreis;unter 3 Jahre;10007;5133;4874
05962;      Märkischer Kreis;3 bis unter 6 Jahre;10122;5174;4948
05962;      Märkischer Kreis;6 bis unter 10 Jahre;14592;7477;7115
05962;      Märkischer Kreis;10 bis unter 15 Jahre;20440;10454;9986
05962;      Märkischer Kreis;15 bis unter 18 Jahre;13888;7102;6786
05962;      Märkischer Kreis;18 bis unter 20 Jahre;9330;4917;4413
05962;      Märkischer Kreis;20 bis unter 25 Jahre;23338;12304;11034
05962;      Märkischer Kreis;25 bis unter 30 Jahre;22833;11946;10887
05962;      Märkischer Kreis;30 bis unter 35 Jahre;22290;11251;11039
05962;      Märkischer Kreis;35 bis unter 40 Jahre;21805;10721;11084
05962;      Märkischer Kreis;40 bis unter 45 Jahre;25700;12563;13137
05962;      Märkischer Kreis;45 bis unter 50 Jahre;36299;18233;18066
05962;      Märkischer Kreis;50 bis unter 55 Jahre;36789;18560;18229
05962;      Märkischer Kreis;55 bis unter 60 Jahre;31088;15631;15457
05962;      Märkischer Kreis;60 bis unter 65 Jahre;26376;12872;13504
05962;      Märkischer Kreis;65 bis unter 75 Jahre;43388;20262;23126
05962;      Märkischer Kreis;75 Jahre und mehr;45535;17918;27617
05962;      Märkischer Kreis;Total;413820;202518;211302
05966;      Olpe, Kreis;unter 3 Jahre;3484;1817;1667
05966;      Olpe, Kreis;3 bis unter 6 Jahre;3361;1769;1592
05966;      Olpe, Kreis;6 bis unter 10 Jahre;4920;2586;2334
05966;      Olpe, Kreis;10 bis unter 15 Jahre;7079;3666;3413
05966;      Olpe, Kreis;15 bis unter 18 Jahre;4920;2544;2376
05966;      Olpe, Kreis;18 bis unter 20 Jahre;3099;1654;1445
05966;      Olpe, Kreis;20 bis unter 25 Jahre;7847;4161;3686
05966;      Olpe, Kreis;25 bis unter 30 Jahre;7597;3961;3636
05966;      Olpe, Kreis;30 bis unter 35 Jahre;7694;3931;3763
05966;      Olpe, Kreis;35 bis unter 40 Jahre;7552;3782;3770
05966;      Olpe, Kreis;40 bis unter 45 Jahre;8708;4333;4375
05966;      Olpe, Kreis;45 bis unter 50 Jahre;12114;6215;5899
05966;      Olpe, Kreis;50 bis unter 55 Jahre;11960;6055;5905
05966;      Olpe, Kreis;55 bis unter 60 Jahre;10090;5173;4917
05966;      Olpe, Kreis;60 bis unter 65 Jahre;8262;4181;4081
05966;      Olpe, Kreis;65 bis unter 75 Jahre;12503;6140;6363
05966;      Olpe, Kreis;75 Jahre und mehr;13569;5331;8238
05966;      Olpe, Kreis;Total;134759;67299;67460
05970;      Siegen-Wittgenstein, Kreis;unter 3 Jahre;6704;3425;3279
05970;      Siegen-Wittgenstein, Kreis;3 bis unter 6 Jahre;6748;3454;3294
05970;      Siegen-Wittgenstein, Kreis;6 bis unter 10 Jahre;9192;4728;4464
05970;      Siegen-Wittgenstein, Kreis;10 bis unter 15 Jahre;12792;6519;6273
05970;      Siegen-Wittgenstein, Kreis;15 bis unter 18 Jahre;8917;4523;4394
05970;      Siegen-Wittgenstein, Kreis;18 bis unter 20 Jahre;6358;3295;3063
05970;      Siegen-Wittgenstein, Kreis;20 bis unter 25 Jahre;18242;9303;8939
05970;      Siegen-Wittgenstein, Kreis;25 bis unter 30 Jahre;17533;9106;8427
05970;      Siegen-Wittgenstein, Kreis;30 bis unter 35 Jahre;15971;8157;7814
05970;      Siegen-Wittgenstein, Kreis;35 bis unter 40 Jahre;14890;7575;7315
05970;      Siegen-Wittgenstein, Kreis;40 bis unter 45 Jahre;16531;8330;8201
05970;      Siegen-Wittgenstein, Kreis;45 bis unter 50 Jahre;22437;11510;10927
05970;      Siegen-Wittgenstein, Kreis;50 bis unter 55 Jahre;23203;11792;11411
05970;      Siegen-Wittgenstein, Kreis;55 bis unter 60 Jahre;20416;10202;10214
05970;      Siegen-Wittgenstein, Kreis;60 bis unter 65 Jahre;17954;8807;9147
05970;      Siegen-Wittgenstein, Kreis;65 bis unter 75 Jahre;27877;13131;14746
05970;      Siegen-Wittgenstein, Kreis;75 Jahre und mehr;30144;12035;18109
05970;      Siegen-Wittgenstein, Kreis;Total;275909;135892;140017
05974;      Soest, Kreis;unter 3 Jahre;7526;3897;3629
05974;      Soest, Kreis;3 bis unter 6 Jahre;7499;3829;3670
05974;      Soest, Kreis;6 bis unter 10 Jahre;10732;5552;5180
05974;      Soest, Kreis;10 bis unter 15 Jahre;15305;7889;7416
05974;      Soest, Kreis;15 bis unter 18 Jahre;10434;5443;4991
05974;      Soest, Kreis;18 bis unter 20 Jahre;6787;3567;3220
05974;      Soest, Kreis;20 bis unter 25 Jahre;16299;8679;7620
05974;      Soest, Kreis;25 bis unter 30 Jahre;16011;8443;7568
05974;      Soest, Kreis;30 bis unter 35 Jahre;16335;8230;8105
05974;      Soest, Kreis;35 bis unter 40 Jahre;16322;8157;8165
05974;      Soest, Kreis;40 bis unter 45 Jahre;19234;9535;9699
05974;      Soest, Kreis;45 bis unter 50 Jahre;25810;12944;12866
05974;      Soest, Kreis;50 bis unter 55 Jahre;25965;13115;12850
05974;      Soest, Kreis;55 bis unter 60 Jahre;22330;11163;11167
05974;      Soest, Kreis;60 bis unter 65 Jahre;18924;9309;9615
05974;      Soest, Kreis;65 bis unter 75 Jahre;29324;13906;15418
05974;      Soest, Kreis;75 Jahre und mehr;31905;12338;19567
05974;      Soest, Kreis;Total;296742;145996;150746
05978;      Unna, Kreis;unter 3 Jahre;9351;4770;4581
05978;      Unna, Kreis;3 bis unter 6 Jahre;9047;4673;4374
05978;      Unna, Kreis;6 bis unter 10 Jahre;13147;6768;6379
05978;      Unna, Kreis;10 bis unter 15 Jahre;18691;9647;9044
05978;      Unna, Kreis;15 bis unter 18 Jahre;13034;6696;6338
05978;      Unna, Kreis;18 bis unter 20 Jahre;8754;4489;4265
05978;      Unna, Kreis;20 bis unter 25 Jahre;21097;11161;9936
05978;      Unna, Kreis;25 bis unter 30 Jahre;20332;10413;9919
05978;      Unna, Kreis;30 bis unter 35 Jahre;20628;10383;10245
05978;      Unna, Kreis;35 bis unter 40 Jahre;21662;10646;11016
05978;      Unna, Kreis;40 bis unter 45 Jahre;24794;12166;12628
05978;      Unna, Kreis;45 bis unter 50 Jahre;33606;16626;16980
05978;      Unna, Kreis;50 bis unter 55 Jahre;34390;17012;17378
05978;      Unna, Kreis;55 bis unter 60 Jahre;30639;14904;15735
05978;      Unna, Kreis;60 bis unter 65 Jahre;26424;12649;13775
05978;      Unna, Kreis;65 bis unter 75 Jahre;42434;19949;22485
05978;      Unna, Kreis;75 Jahre und mehr;43744;16843;26901
05978;      Unna, Kreis;Total;391774;189795;201979
__________
(C)opyright Federal Statistical Office and the statistical offices of the
Länder, Germany, 2016. Reproduction and distribution, also of
parts, are permitted provided that the source is mentioned.
created: 05.03.2016 - 16:01:23
